author,author_cat
Sid Lowe at the Kazan Arena,8463
Barney Ronay in St Petersburg,1118
Mark Brown,5912
"Lauren Gambino in Washington and Oliver Laughland in McAllen, Texas",5380
Scarlett Conlon in Paris,8303
Amy Lawrence in Ekaterinburg,627
Katharine Murphy and Paul Karp,5042
Stuart James at the Nizhny Novgorod Stadium,8710
Chris Cook at Ascot,1718
Exclusive by Jeremy Whittle in Monaco,2910
Ed Pilkington in Geneva,2634
Vic Marks at Emirates Riverside,9231
Richard Partington economics correspondent,7766
"Lauren Gambino in Washington and Oliver Laughland in Brownsville, Texas",5379
John Davidson at the Samara Arena,4490
Andrew Roth at the Ekaterinburg Arena,699
Guardian Staff,3331
Ewen MacAskill and Jessica Elgot,2902
Tanya Aldred at Guildford,8856
Nick Ames in Volgograd,6784
John Quiggin,4546
Kirby Fenwick,5218
Thaslima Begum and Hannah Ellis-Petersen,8897
Chris Cook at Royal Ascot,1730
Larissa O'Connor at North Sydney Oval,5331
Erin Rhoads,2857
"Katharine Murphy, political editor",5047
Eva Cox,2870
Geeta Dayal,3135
"Jon Henley, Daniel Boffey in Brussels and Helena Smith in Athens",4581
Lauren Gambino in Washington and Martin Pengelly in New York,5377
Sid Lowe at the Kaliningrad Stadium,8462
David Agren in Monterrey,2213
Zoe Wood and Nick Fletcher,9478
Jim Waterson in Cannes,4401
Sid Lowe in Kaliningrad,8471
Matthew Engel at Royal Ascot,6119
David Hytner in Sochi,2283
"Tony Paley, with Chris Cook and Greg Wood at Ascot",9127
Kevin Mitchell at Queen's Club,5150
Angela Monaghan and Jessica Elgot,783
Giles Richards at Paul Ricard,3202
Isabel Choat,3696
David Hytner at the Fisht Stadium,2269
Daniel Taylor in Nizhny Novgorod,2158
David Smith in Washington and Jessica Glenza in New York,2328
Adam Collins at Taunton,260
Carl Worswick,1569
Robert Kitson at Newlands Stadium,7876
Toby Helm and James Tapper,9050
"Emma Graham-Harrison, Lisa O'Carroll and Damien Gayle",2767
Michael Savage and Emma Graham-Harrison,6394
Dominic Fifield and Martha Kelner in Nizhny Novgorod,2453
Martha Kelner in Nizhny Novgorod,5998
"Tony Paley, with Chris Cook at Ascot",9128
Jessica Elgot and Matthew Taylor,4350
Eamonn Forde,2614
Giles Richards at Circuit Paul Ricard,3199
Jonathan Wilson at the Kazan Arena,4666
Dominic Fifield at the Nizhny Novgorod Stadium,2475
John Davidson in Samara,4492
Melissa Davey; photographs by Carly Earl,6194
Andrew Roth Nizhny Novgorod,698
Ben Mabley,1202
Shaun Walker at the Mordovia Arena,8414
"Phillip Inman, Graeme Wearden and Dominic Rushe",7393
Lauren Gambino and David Smith in Washington and agencies,5370
"Kevin Tripp in Tornillo, Texas",5182
Ben Smee with agencies,1221
Kevin Mitchell at Eastbourne,5145
Adam Vaughan and Steven Morris,310
Sid Lowe in St Petersburg,8476
Vikram Dodd crime correspondent,9270
"Dan Sabbagh, Lisa O'Carroll and Peter Walker",2074
Sid Lowe at the St Petersburg Stadium,8468
Kieran Pender at the Fisht Stadium,5190
Martha Kelner in Kaliningrad,5996
Dominic Rushe in New York and Richard Partington,2499
David Hytner at the Rostov Stadium,2274
Nick Miller in Rostov,6831
Andy Bull at the Hurlingham Club,738
John Davidson at the Fisht Stadium,4489
Caroline Davies and agencies,1598
Jonathan Wilson in Kazan,4667
Severin Carrell  Scotland editor,8383
Naaman Zhou in Sydney,6624
Jane Howard,4158
Fernanda Dahlstrom,2956
Kieran Pender in Sochi,5193
"Frances Perraudin, Helen Pidd and Kevin Rawlinson",2995
Daniel Taylor in Kaliningrad,2155
Thomas Hitzlsperger,8963
Dominic Fifield in Kaliningrad,2482
Ali Martin at Edgbaston,486
Barney Ronay at the Spartak Stadium,1114
Nick Miller at the Nizhny Novgorod Stadium,6827
Andrew Roth in Moscow  Julian Borger in Washington,703
Barney Ronay at the Kaliningrad Stadium,1104
Ed Pilkington in New York and agencies,2638
Martha Kelner at the Kaliningrad Stadium,5986
Memphis Barker,6203
Dominic Fifield at the Kaliningrad Stadium,2472
Daniel Boffey and Heather Stewart in Brussels,2088
Adam Collins in Bristol,265
Thiago Rabelo,8943
Daniel Taylor at the Kaliningrad Stadium,2146
Stuart James at the Volgograd Arena,8714
Ian Cobain and Ewen MacAskill,3617
Giles Richards in Spielberg,3209
"Bri Lee, Kate Rossmanith, Phillipa McGuinness, Belinda Castles, Nino Bucci, Lisa Portolan, Tracy Ryan,  Kate Wild, Ali Berg and Michelle Kalus",1359
James Bargent in MedellÃ­n,4027
"Melissa Davey, Ruth Michaelson in Cairo, Hannah Devlin and Calla Wahlquist",6193
David Hytner in Moscow,2280
Dominic Rushe in New York and agencies,2500
Alex Halperin in Los Angeles,411
"Vikram Dodd, Ewen MacAskill and Ian Cobain",9272
Laurie Penny,5393
Jennifer Rankin and Daniel Boffey in Brussels,4255
Helen Davidson in Tennant Creek,3489
Arron Merat in Paris and  Julian Borger in Washington,955
Kat Banyard,4993
Toby Helm ,9038
Carl Worswick in Moscow,1570
Martin Pengelly and Jessica Glenza in New York and Lucia Graves in Washington,6033
"Michael Savage, policy editor",6400
Toby Greany and Rob Higham,9035
Lin Jenkins,5473
"Michael Savage
Policy Editor",6385
"Toby Helm, Michael Savage and Daniel Boffey",9058
Graham Brady,3267
Nick Ames at the Kazan Arena,6777
Sean Ingle at Alexander Stadium,8343
Isabelle Westbury at Lord's,3709
Laura Cumming,5355
David Hytner in Nizhny Novgorod,2281
Hannah Beckerman,3391
Lisa O' Kelly,5498
Interview by Jude Rogers,3673
Ifay,3643
Richard Adams  Education editor,7699
Kieran Pender at Nizhny Novgorod,5188
Kevin Mitchell at Wimbledon,5152
Nick Ames in Samara,6783
Rajeev Syal and  Denis Campbell,7596
David Hytner at the Nizhny Novgorod Stadium,2272
Daniel Levitt,2120
Martha Kelner and Andrew Roth in Moscow,5984
Raf Nicholson at Chelmsford,7581
Stuart James in Rostov-on-Don,8717
Lorraine Marwood,5564
Gareth Hutchens and Christopher Knaus,3099
Libby Hogan in Yangon and Hannah Ellis-Petersen,5459
Nesrine Malik,6711
Stuart James at the Rostov Arena,8712
Matthew Weaver and agencies,6151
David Agren and Tom Phillips in Mexico City,2210
Daniel Taylor in Moscow,2157
Dominic Fifield in Moscow,2483
Simon Cambers at Wimbledon,8492
Nick Miller at the Rostov Arena,6828
Gerard Meagher at Wimbledon,3171
Sean Ingle at Wimbledon,8346
Dan Sabbagh and Jessica Elgot,2063
"Jacob Steinberg at Wimbledon, with Ben Fisher (for a bit)",3994
Kevin Mitchell Wimbledon,5143
Patrick Collinson and Miles Brignall,7087
Jonathan Wilson at Samara Arena,4663
Nick Ames at the Samara Arena,6780
Chris Stephen and Patrick Wintour,1748
Dominic Fifield at the Spartak Stadium,2477
"Matthew Weaver, Adam Gabbatt, Mattha Busby, Kevin Rawlinson and Kate Lyons",6152
Benjamin Haas and Emma Graham-Harrison and Jacob Goldberg in Mae Sai,1229
Daniel Taylor at the Spartak Stadium,2151
Ali Martin at Old Trafford,489
Les Roopanarine at Wimbledon,5425
Jacob Steinberg at Wimbledon and Alex Hess (earlier),3992
Matthew Engel at Wimbledon,6120
David Hytner at the St Petersburg Stadium,2275
Rajeev Syal and Heather Stewart,7600
Amelia Abraham,580
Dominic Fifield in St Petersburg,2488
Daniel Taylor in St Petersburg,2163
Ewan Murray at Ballyliffin,2877
Paul Parker,7234
Paul MacInnes at Wimbledon,7214
Jorge Valdano,4679
Jeremy Whittle in La Roche sur Yon,4306
Heather Stewart  and Jessica Elgot,3449
Kevin Rawlinson and Libby Brooks on the Isle of Bute,5168
Andrew Sparrow (now): and Peter Walker (earlier),711
Kasey Symons,4990
Verity Bowman and Caroline Davies,9222
Anne Braybon,827
Sam Jones,8189
Saba Vasefi and Ben Doherty,8135
Shaikh Azizur Rahman,8393
Luke Henriques-Gomes,5609
Giles Richards at Silverstone,3203
Aaron Bower at John Smith's Stadium,208
Jeremy Whittle in La Roche-sur-Yon,4307
Jacob Steinberg at Wimbledon,3990
"Stuart James in Nizhny Novgorod
",8716
Katy Murrells at Wimbledon,5084
Angus Harrison,790
Khadija Kothia,5184
Patrick Greenfield and Mattha Busby,7100
Graeme Wearden and Angela Monaghan,3254
"Jessica Elgot, Sarah Marsh, Alicia Canter, Linda Nylind, Mark Smith and Adharanand Finn",4364
Nick Ames in Kazan,6782
Sam Levin,8196
Amy McQuire and Karla McGrady,630
Linda Pearce at Wimbledon,5480
Jonathan Wilson at Kazan Arena,4661
Dominic Fifield in Samara,2486
Daniel Taylor in Samara,2161
Tim de Lisle,9013
Vic Marks at Cardiff,9229
Nick Ames at Kazan Arena,6769
"Mattha Busby, Kate Lyons and Kevin Rawlinson",6109
Michael Safi and Jacob Goldberg in Mae Sai,6377
Katy Murrells at Wimbledon and Niall McVeigh (briefly),5086
Barney Ronay at the Nizhny Novgorod Stadium,1109
"Vikram Dodd, Steven Morris and Caroline Bannock",9275
Stuart James at Fisht Stadium,8696
Gemma Cairney,3136
"Toby Helm, political editor and Jennifer Rankin in Brussels",9063
David Lidington,2291
Phillip Lee,7397
"Jacob Steinberg at Wimbledon, Will Unwin (earlier)",3993
Shaun Walker in Samara,8419
Dominic Fifield at the Samara Arena,2476
Jamie Doward in Sheffield,4090
Caleb Gayle in New York,1541
Barney Ronay at the Samara Arena,1113
Martha Kelner at the Samara Arena,5987
Raf Nicholson at Headingley,7585
Kari Lydersen in Chicago,4982
Lisa Appignanesi,5487
Nick Miller (earlier) and Tanya Aldred (later),6815
Kevin Rawlinson and Patrick Greenfield,5170
Martha Kelner in Samara,6001
Martha Kelner in St Petersburg,6002
Kristof Terreur in Moscow,5244
"Mattha Busby (now),  Kate Lyons (earlier)",6107
"Michael Safi, Jacob Goldberg and Veena Thoopkrajae in Mae Sai",6382
Michael Safi and Veena Thoopkrajae in Mae Sai,6378
"Andrew Sparrow, Graham Russell, Patrick Greenfield and Kevin Rawlinson",717
Martha Kelner in Repino,6000
"Jamie Grierson, Home affairs correspondent",4109
"Heather Stewart, Dan Sabbagh and Jessica Elgot",3470
Matthew Taylor Environment correspondent,6147
Jamiles Lartey in New Orleans and agencies,4146
Jacob Steinberg at Wimbledon (now) and Ben Fisher (earlier),3991
David Hytner in St Petersburg,2284
Layal Liverpool,5400
Ian Birrell,3613
Nick Ames at the St Petersburg Stadium,6781
Jeremy Whittle in Sarzeau,4313
Andy Hunter Prenton Park,746
Aleksandar Holiga,398
Sally Weale and Richard Adams,8177
Daniel Taylor at the St Petersburg Stadium,2152
"Peter Walker, Jessica Elgot, Graham Russell and Kevin Rawlinson",7365
Dan Sabbagh and Patrick Wintour,2067
Tanya Aldred (first innings) and Simon Burnton,8853
Raf Nicholson at Derby,7582
Dominic Fifield at the Luzhniki Stadium,2474
Julian Borger in Zagreb,4786
Heather Stewart and Dan Sabbagh,3456
Daniel Freeman and Jason Freeman,2102
Peter Walker and Vikram Dodd,7364
Pippa Crerar in Brussels,7424
Daniel Taylor at the Luzhniki Stadium,2149
Bryan Armen Graham (later) and Jacob Steinberg (earlier),1402
Ewen MacAskill and Pippa Crerar in Brussels,2903
Nadia Khomami and Jessica McKay,6631
Rajeev Syal and Holly Watt,7601
Ewan Murray at Ibrox,2884
Nazia Parveen and Adam Gabbatt,6686
Nick Miller and Tanya Aldred,6818
"Alexandra Topping, Patrick Wintour and Peter Walker",470
Ewen MacAskill in Brussels,2904
Katy Murrells at Wimbledon and Bryan Armen Graham,5085
"Andrew Sparrow, Mattha Busby, Kate Lyons and Kevin Rawlinson",718
Aaron Bower at Headingley Stadium,206
Raf Nicholson at Grace Road,7583
Andy Bull at Wimbledon,736
Benjamin Lee in New York,1240
Simon Burnton (second innings) and Nick Miller (first innings),8484
Memphis Barker in Lahore,6207
Vikram Dodd and Steven Morris,9269
David Smith in London,2322
Jeremy Whittle in Chartres,4305
"Robert Booth, Alexandra Topping, Damien Gayle and Libby Brooks",7845
Chris Johnston and agencies,1741
Peter Mandelson,7339
Martha Kelner at the St Petersburg Stadium,5988
Tim Lewis at Wimbledon,9002
Dominic Fifield at the St Petersburg Stadium,2478
Tim de Lisle (earlier) and Nick Miller (now),9014
Ewan Murray at Gullane,2882
Jess Phillips,4332
Lisa O'Kelly,5505
David Smith in London and Andrew Roth in Moscow,2323
Nazia Parveen North of England Correspondent,6684
Lily Kuo in Hong Kong and Ashifa Kassam in Toronto,5472
Virginia Wallis,9287
"Barry Glendenning (match commentary), Will Unwin (build-up) and Niall McVeigh",1122
David Hytner at the Luzhniki Stadium,2271
Jeremy Whittle Roubaix,4300
Allan Jenkins,532
Martha Kelner and Shaun Walker in Moscow,5985
Ewan Murray at Carnoustie,2879
Una Hajdari in Zagreb,9175
Jon Swaine and Lois Beckett,4591
Dan Sabbagh Heather Stewart and Jessica Elgot,2057
Paolo Bandini in Turin,7059
Amanda Holpuch (now) and Matthew Weaver (earlier),553
Andrew Roth in Helsinki,701
"Severin Carrell, Steven Morris and Ian Sample",8389
Fabrizio Romano and Andy Hunter,2935
Tim de Lisle (now) and Daniel Harris (India innings),9017
Marcel Desailly,5879
Josh Holder,4699
Oscar Rickett,6974
Jeremy Whittle in Le Grand-Bornand,4310
"Heather Stewart, Pippa Crerar and Jessica Elgot",3478
Hannah Ellis-Petersen in Chiang Rai and Matthew Weaver,3399
Sam Levin in San Francisco and Olivia Solon in Menlo Park,8203
Jeremy Whittle in La RosiÃ¨re,4308
Jamie Jackson in Los Angeles,4130
Andy Bull at Carnoustie,727
Lisa Portolan,5506
Brook Mitchell and Lisa Cox,1388
Christopher Knaus and Nick Evershed,1794
Jeremy Whittle in Alpe d'Huez,4302
Jeremy Whittle on Alpe d'Huez,4314
Kevin Mitchell at Carnoustie,5144
Jana Perkovic,4154
Jamie Jackson in San Jose,4131
Paul Karp and Nick Evershed,7198
Scott Murray (and John Brewin),8316
"Damien Gayle,  Ian Cobain and Peter Walker",2022
Mark Tallentire at Carnoustie,5963
Richard Adams and Heather Stewart,7704
Gregg Hurwitz,3321
Nazia Parveen and Josh Halliday,6687
Morwenna Ferrier Assistant fashion editor,6538
Chi-chi Nwanoku,1693
Priscilla Ennals,7454
Toby Helm and Denis Campbell,9049
Toby Helm and Carole Cadwalladr,9048
Emmanuel Akinwotu,2770
Nick Ames at the Lee Valley Hockey Centre,6778
Mehreen Zahra-Malik in Lahore,6184
Mark Woods at the London Stadium,5973
Martin Pengelly and Jamiles Lartey,6032
Johanna Thomas-Corr,4471
Lucy Siegle,5599
Jeremy Whittle,4299
Oliver Holmes on the Golan Heights and Kareem Shaheen in Istanbul,6936
David Robert Grimes,2307
Michael Tatarski in Ho Chi Minh City,6416
Jamie Jackson at Levi's Stadium,4116
Rajeev Syal and Josh Halliday,7603
Nazia Parveen,6683
Nazia Parveen North of England correspondent,6685
Jamie Jackson in Santa Clara,4132
"Simon Burnton, Jacob Steinberg, Paul Wilson, Nick Ames, Andy Hunter, Louise Taylor and Jamie Jackson",8488
Giles Richards at Hockenheimring,3200
Raf Nicholson at Guildford,7584
Katharine Murphy and Ben Smee,5038
"Ashifa Kassam in Toronto, Kate Lyons and agencies",971
Andy Hunter in New York,763
Alex Halperin,410
Graham Hardcastle at Old Trafford,3274
Philip Oltermann in Berlin and Pippa Crerar,7382
Jeremy Whittle in Carcassonne,4304
Vernon Bogdanor,9225
Caitlin Welsh,1537
Amrit Dhillon in New Delhi,589
Steven Morris and Kevin Rawlinson,8673
Jeremy Whittle in BagnÃ¨res-de-Luchon,4303
Jeremy Whittle at BagnÃ¨res-de-Luchon,4301
Helena Smith in Mati,3501
"Sean Ingle
BagnÃ¨res-de-Luchon ",8341
Vikram Dodd and Jessica Elgot,9267
Fatima Bhutto,2947
Paul Karp and Amy Remeikis,7196
Hilary Osborne and Nick Hopkins,3540
Carlo Rovelli,1575
Andy Hunter in New Jersey,762
Lauren Gambino and Ben Jacobs in Washington,5368
David Smith in Washington and Dominic Rushe in New York,2327
"Kevin Rawlinson, Mattha Busby and Matthew Taylor",5178
Jeremy Whittle in Saint-Lary-Soulan,4312
Daniel Boffey in Brussels and David Smith in Washington,2093
Chris Stocks at Chelmsford,1750
Sean Ingle in Saint-Lary-Soulan,8361
Fran Newton,2987
Gavin Ritchie,3123
Santilla Chingaipe,8238
Sarah Marsh and Diane Taylor,8269
Graham Hardcastle and Chris Stocks at Chelmsford,3269
"Matthew Engel
",6118
Peter Walker and Mattha Busby,7359
Staff and agencies in Beirut,8572
Simon Collings in Singapore,8493
Andrew Jaspan,680
Jamie Jackson in California,4128
Aaron Bower Totally Wicked Stadium,198
Jamie Grierson and Mattha Busby,4101
Jeremy Whittle in Pau,4311
Olivia Solon in San Franisco,6961
Sean Ingle in Pau,8357
Peter Walker and Pippa Crerar,7361
Paul Karp and Christopher Knaus,7197
David Marr,2296
Andy Hunter in Ann Arbor,759
Aaron Bower at KCom Stadium,209
Jeremy Whittle in Laruns,4309
Gabrielle Canon in San Francisco,3070
Sean Ingle in Laruns,8355
Nomtha Gray,6909
Sarah Marsh (now) and Adam Vaughan and Ben Quinn (earlier),8263
Andy Catling,742
Sam Jones in Madrid and agencies,8192
Giles Richards at the Hungaroring,3205
Kevin Mitchell at the O2,5154
Toby Helm and Jonah Ramchandan,9052
Andy Hunter at Michigan Stadium,751
Carole Cadwalladr and Toby Helm,1589
"Jamie Doward, Toby Helm and Jonah Ramchandan",4093
Sean Ingle in Espelette,8354
James Piercy,4059
Jason Burke in Harare,4181
Fiona Maddocks,2973
"Robin McKie
Science Editor",7918
Verity Bowman and Press Association,9223
Sean Ingle in Paris,8356
Aaron Bower at the Select Security Stadium,229
Ian Austin,3612
Megan Clement in Paris,6171
Jeremy Graham,4288
Panashe Chigumadzi,7052
Mark Woods,5972
Wilf Mbanga,9383
Rhik Samadder,7684
Ali Martin Edgbaston,484
Emma Snaith,2768
As told to Denis Campbell,963
Peter Lewis,7338
Oliver Holmes and Sufian Taha in Nabi Saleh,6931
"David Smith in Alexandria, Virginia",2318
Owen Bowcott  Legal affairs correspondent,6979
"David Smith in Alexandria, Virginia and Tom McCarthy in New York",2319
Greg Wood at Goodwood,3309
Mary O'Hara,6054
David Hytner at the Aviva Stadium,2264
Richard Partington and Joel Cooper,7763
Jamie Jackson and Steve Brenner in Miami,4114
Ewan Murray at Royal Lytham & St Annes,2887
Andy Bull at Edgbaston,728
Pippa Crerar Deputy political editor and Sarah Marsh,7413
Fiona Sturges,2977
Anne Davies and Martin Farrer,830
Lisa Martin,5497
David Munk,2301
Alex Hern and agencies,416
Mark Woods in Glasgow,5975
Nick Hopkins,6807
Sabrina Siddiqui and David Smith Washington,8138
Paul MacInnes at the O2 Arena,7219
Ewan Murray at Royal Lytham &amp; St Annes,2888
Simon Rice,8504
Helen Davidson in Arnhem Land,3488
Richard Partington Economics correspondent and Edward Helmore in New York,7762
Dom Knight,2439
Ben Fisher at Madejski Stadium,1167
Robin Urevich,7926
Vic Marks at Edgbaston,9230
Rob Smyth (later) and Nick Miller (earlier),7829
Jessica McKay and agency,4371
Staff and agencies in Athens,8571
Helen Davidson at Garma,3486
Andy Welch,767
Richard Jolly,7740
Amanda Holpuch in New York and Ben Jacobs in New Orleans,561
"Brendan de Beer, João Madeira and Sam Jones",1351
Fiona Millar,2974
Toby Helm and Jamie Doward,9051
Richard Jolly at Bramall Lane,7741
Interview by Tim Lewis,3679
Charles Foster,1655
Kenan Malik,5116
"Vanessa Thorpe
Arts and Media Correspondent",9212
Ben Fisher at Ashton Gate,1162
Puck,7464
Jamie Grierson and agency,4106
Richard Hall in Beirut and Oliver Holmes in Jerusalem,7737
Zoe Wood and Miles Brignall,9477
Aaron Bower at the University of Bolton Stadium,231
Paul Doyle at Wembley,7172
Nick Ames at the Lee Valley Hockey Stadium,6779
Svetlana Stankovic and Gabrielle Jackson,8763
Nathan Dunne,6667
Louise Taylor at Elland Road,5575
Helena Vesty,3503
Whitney Phillips,9376
Sean Ingle in Berlin,8351
Caleb Gayle,1540
Jason Wilson in Portland,4204
Exclusive by Stuart James,2914
Yvette Cooper,9451
Jack Seale,3967
Ewan Murray at Bellerive,2878
Martin Chulov and Ashifa Kassam,6016
Oliver Trenchard in Tokyo,6955
Patrick Keneally,7126
Larry Elliott and Kareem Shaheen in Istanbul,5340
Mike McCahill,6471
"Ben Jacobs in Columbus, Ohio",1190
Gholamali Khoshroo,3189
Sophie Wilkinson,8547
Oliver Holmes in Jerusalem and Hazem Balousha in Gaza City,6933
Alex Hern in Las Vegas,417
Guardian writers,3341
"Dan Sabbagh, Jessica Elgot and Rajeev Syal",2073
Ashifa Kassam in Toronto and Kareem Shaheen,970
Tom Phillips in Mexico City and Joe Parkin Daniels Daniels in BogotÃ¡,9109
Daniel Khalili-Tari,2115
Uki GoÃ±i in Buenos Aires,9170
Nick Ames (now) and Simon Burnton (earlier),6763
Sarah Butler and Zoe Wood,8254
Saeed Kamali Dehghan,8166
Jessica Elgot and Dan Sabbagh,4346
Mike Elk,6453
Jake Dean,4016
Rob Smyth and Nick Miller,7830
Erin Durkin in New York,2851
Barney Ronay at Lord's,1095
Tamsin Costigan,8850
David Findley,2242
Graeme Wearden (until 3.15pm) and Nick Fletcher,3253
"Sean Ingle
Olympiastadion",8342
Mark Woods in Edinburgh,5974
Chaminda Jayanetti and Michael Savage,1646
Tim Evershed at Pride Park,8993
Jonathan Howcroft (first) and Adam Collins (later),4616
Sara Wheeler,8244
"Dominic Fifield
Craven Cottage",2447
Paul Doyle at John Smith's Stadium,7166
Ben Fisher at the Vitality Stadium,1175
Nick Ames at Molineux,6771
Nick Miller at the John Smith's Stadium,6824
Alana Holmberg,385
Dominic Fifield at the Emirates Stadium,2469
Julian Borger in Washington  Shaun Walker in Budapest,4775
Patrick Collinson and Rob Davies,7088
Adam Collins (at Lord's) and  Rob Smyth,255
Daniel Taylor at the Emirates Stadium,2141
Lois Beckett in Charlottesville,5541
Paul Mosley,7222
Hugh Lauder,3569
Andrew Gumbel in Los Angeles,674
M Amedeo Tumolillo in San Francisco,5628
Tim Gosling,8994
Chris McGreal in Portland,1743
Emily Rowe,2747
Lisa Cox and Katharine Murphy,5492
Sean Farrell,8338
Kate Lamb in Rancasumur,5009
Ben Fisher at Huish Park,1165
"Conrad Leach
",1860
"Ben Jacobs in Washington, Erin Durkin in New York and Lauren Gambino",1198
Stephanie Constand,8597
Cicely Cunningham,1813
Kehinde Andrews,5091
"Damien Gayle, Jamie Grierson and Frances Perraudin",2023
Frances Perraudin and Zeinab Mohammed Salih,2994
"Phillip Inman, Sean Farrell and Graeme Wearden",7395
"Paul Doyle, Barry Glendenning and Jacob Steinberg",7184
Naaman Zhou and Richard Parkin,6622
Aaron Bower at Mobile Rocket Stadium,212
Ben Beaumont-Thomas and Benjamin Lee,1147
Megan Maurice,6173
Patrick Lum,7131
James Saunders for IndigenousX,4068
Chris Cook at Salisbury,1731
Tanya Harrod,8864
Erin Durkin and agencies,2850
Kelsey Munro,5102
Ben Jacobs,1185
"Amanda Holpuch in New Haven, Connecticut",559
Vic Marks at Trent Bridge,9238
Kate Lyons,5010
John Hooper,4518
"Jon Henley European affairs correspondent, and agencies",4578
Oliver Pickup,6952
Amanda Statham,574
Charlotte Wood,1685
Chris Stocks at Trent Bridge,1752
Amy Lawrence at Stamford Bridge,619
Michael Savage Observer policy editor,6390
"Josie Le Blond
Berlin",4711
Mehreen Zahra Malik in Islamabad,6183
Chris Stokel-Walker,1753
Simon Burnton (after lunch and after tea) and Tim de Lisle (before lunch and before tea),8482
Angela Giuffrida in Genoa,775
Sean Ingle at the Alexander Stadium,8347
Aaron Bower at AJ Bell Stadium,199
Ian Black,3614
Sam Leith,8195
Jessica Elgot Political Correspondent,4341
Thom Pierce,8945
Paul Doyle at the Amex Stadium,7175
Martin Pengelly and Ed Pilkington in New York,6031
Tim de Lisle (now) and Adam Collins (earlier),9016
Aaron Bower at Trailfinders Sports Ground,216
Melissa Leong,6201
Josie Le Blond in Berlin,4712
Jacob Steinberg at Selhurst Park,3985
"Jason Burke, Africa correspondent",4185
Chris Wiegand,1755
Graham Hardcastle at Scarborough,3275
Jamie Grierson  and Jessica Elgot,4097
Daniel Harris (earlier) and Rob Smyth (later),2108
Charlie Brinkhurst-Cuff,1670
Anthony Hayward,912
Jessica Elgot and Fiona Harvey,4347
"Tom McCarthy in New York and Ben Jacobs in Alexandria, Virginia",9099
Paul MacInnes at Loftus Road,7207
Jamiles Lartey in Atlanta and agencies,4142
Nick Miller and Adam Collins at Trent Bridge,6816
Steve Dow,8636
Lauren Gambino (now) and Mattha Busby (earlier),5367
Tim Nash at Villa Park,9005
Greg Wood at York,3318
Dan Tynan,2077
Gerard Meagher and Alex Bywater at Kingsholm,3163
Nadia Khomami and Nadeem Badshah,6632
"Richard Adams, Caelainn Barr and Pamela Duncan",7711
Patrick Wintour  Diplomatic editor,7141
Jason Burke in Johannesburg and David Smith in Washington,4183
Jim Waterson in Edinburgh,4402
"Helen Pidd, Josh Halliday and Tania Chakraborti",3496
Ann Eatwell,794
Martin Pengelly in New York and Lauren Gambino in Washington,6037
Elise Thomas,2703
"Luke O'Neil in Warren, Massachusetts",5614
Heather Stewart and Andrew Sparrow,3453
Kevin Mitchell at Flushing Meadows,5146
Tommy McIlravey,9121
Laura Kipnis,5357
Elena Cresci,2679
Howard Megdal,3563
Marc Bennetts,5862
Kieran Pender in MÃ¡laga,5192
Paolo Bandini at the Allianz Stadium,7058
Susan McKay,8737
Lorenzo Tondo,5558
Sam Miller,8208
Tom Ireland,9087
Dan Hancox,2043
Imogen Russell Williams,3658
Jay Rayner,4216
"Susannah Clapp, Kitty Empire, Simran Hans, Sarah Hughes, Ralph Jones, Kate Kellaway, Rowan Moore, Alex Preston,  Miranda Sawyer",8740
Jacob Steinberg at the Vitality Stadium,4001
Aaron Bower at Wembley,217
Paul Doyle at Carrow Road,7165
Nick Curtis,6799
Sachin Nakrani at the Emirates Stadium,8157
Kevin Mitchell in New York,5160
Rory Carroll Ireland correspondent,7963
David Patrick Stearns,2303
Nazia Parveen north of England correspondent,6688
Nick Ames at Craven Cottage,6767
Kieran Pender at the Caminito del Rey,5189
Eleanor Ainge Roy in Alexandra,2673
Gabrielle Chan,3071
"Lorena Allam, Calla Wahlquist and Nick Evershed",5555
"Calla Wahlquist, Nick Evershed and Lorena Allam",1548
Damian Carrington and Lily Kuo in Beijing,2010
Tanya Aldred (semi-final) and Rob Smyth (final),8854
Yassmin Abdel-Magied,9439
Nigel Lindsay and Simon Mundy,6864
Jenny Colgan,4274
"Martha Bozic, Caelainn Barr and Niamh McIntyre. Additional reporting by Poppy Noor",5980
Kieran Pender in AlhaurÃ­n de la Torre,5191
Amrit Dhillon in Uttar Pradesh,590
Sarah Marsh and Amanda Boateng,8265
David Hytner at Kingsmeadow,2255
Dan Sabbagh in Cape Town,2071
Jacob Steinberg (now) and Tom Lutz (earlier),3980
Ahmad Samih Khalidi,331
Calla Wahlquist and Lorena Allam,1545
Imani Mixon in Detroit,3656
Ali Martin at the Ageas Bowl,491
Ben Doherty and Paul Karp,1157
Jim Waterson media editor Edward Helmore in New York,4403
Dan Sabbagh in Lagos,2072
Rachel Obordo and Guardian readers,7578
Paul Doyle at the City Ground,7177
Sarah Marsh and Hannah Devlin,8271
Tanya Aldred at Southport,8861
Sean Gorman,8339
"Lorena Allam, Calla Wahlquist, Nick Evershed",5556
Keza MacDonald,5183
Simon Usborne,8514
Richard Adams and Jessica Elgot,7705
Lauren Gambino in Phoenix,5374
Katy Murrells and Michael Butler (for a bit),5082
Paul Wilson at Turf Moor,7262
Andy Bull at the Ageas Bowl,737
Patrick Collinson and Rupert Jones,7089
Vic Marks at the Ageas Bowl,9239
Tom Bryant,9069
Renee Eaves,7675
